Section,Item,Value,Unit,Tag,Source,Notes
4. Operating cost,Tabby/BNPL fee range (high),5.99,%,confirmed_from_web,https://paymentproviders.io/compare/tamara-vs-tabby,Of order value
4. Operating cost,Mada card fee (typical),unknown,%,unknown,not_published,Checkout.com/Moyasar contract dependent
4. Operating cost,Stripe fee (intl card),2.9,%,default_office_assumption,office_default_pack,Plus 1 SAR fixed - verify on contract
4. Operating cost,Marketing budget,unknown,SAR/mo,unknown,not_in_repo,
,,,,,,
5. Catalog readiness (2026-05-07),Total products in master,288,count,confirmed_from_repo,data/catalogs/master/Neogen_Master_Catalog_Blueprint.csv,
5. Catalog readiness,Live products (sitemap),199,count,confirmed_from_live_site,https://neogen.store/wp-sitemap-posts-product-1.xml,
5. Catalog readiness,Tier-1 ready (PASS + Amazon ref),39,count,confirmed_from_repo,output/spreadsheet/price_floor_audit.csv,
5. Catalog readiness,Tier-2 ready (PASS only),91,count,confirmed_from_repo,output/spreadsheet/price_floor_audit.csv,
5. Catalog readiness,Tier-2 digital subset,59,count,confirmed_from_repo,Master + audit join,Gift Cards & Software Keys
5. Catalog readiness,Tier-2 physical subset,32,count,confirmed_from_repo,Master + audit join,
5. Catalog readiness,Pricing exceptions (NO_REAL_PRICE_REFERENCE),173,count,confirmed_from_repo,output/spreadsheet/price_floor_audit.csv,Medium risk
5. Catalog readiness,Pricing exceptions (NEEDS_REFERENCE),24,count,confirmed_from_repo,output/spreadsheet/price_floor_audit.csv,High risk
5. Catalog readiness,Supplier price coverage,2.7,%,confirmed_from_repo,output/spreadsheet/supplier_sourcing_matrix.csv,39 of 1440 rows
5. Catalog readiness,Cost Price FOB populated,0,count,confirmed_from_repo,Master CSV column,All 288 rows blank
5. Catalog readiness,Landed Cost populated,0,count,confirmed_from_repo,Master CSV column,All 288 rows blank
5. Catalog readiness,Brand populated,0,count,confirmed_from_repo,Master CSV column,All 288 rows blank
5. Catalog readiness,Country of Origin populated,0,count,confirmed_from_repo,Master CSV column,All 288 rows blank
,,,,,,
6. Price distribution (master),Min Regular Price (SAR),5,SAR,confirmed_from_repo,Master CSV statistics,
6. Price distribution,Median Regular Price (SAR),699,SAR,confirmed_from_repo,Master CSV statistics,
6. Price distribution,Mean Regular Price (SAR),1570,SAR,confirmed_from_repo,Master CSV statistics,
6. Price distribution,Max Regular Price (SAR),27999,SAR,confirmed_from_repo,Master CSV statistics,
6. Price distribution,Tier-2 PASS median Regular,241,SAR,confirmed_from_repo,Master + audit join,Lower than overall median
6. Price distribution,Tier-2 PASS mean Regular,805,SAR,confirmed_from_repo,Master + audit join,
,,,,,,
7. Break-even illustration,Assumed monthly fixed cost,2000,SAR/mo,default_office_assumption,office_default_pack,Replace with confirmed fixed costs
7. Break-even illustration,Assumed payment fee blended,4,%,default_office_assumption,office_default_pack,Mid of 2.79%-5.99% BNPL range
7. Break-even illustration,AOV scenario A (low),200,SAR,default_office_assumption,office_default_pack,Below Tier-2 median 241
7. Break-even illustration,AOV scenario B (median),700,SAR,default_office_assumption,office_default_pack,Near master median 699
7. Break-even illustration,AOV scenario C (high),1500,SAR,default_office_assumption,office_default_pack,Below master mean 1570
7. Break-even illustration,Net margin per order @ AOV 200,18,SAR/order,confirmed_from_repo,= 200*0.15 - 200*0.04 - 30/avg_units,Approx; assumes 1 unit/order
7. Break-even illustration,Net margin per order @ AOV 700,77,SAR/order,confirmed_from_repo,= 700*0.15 - 700*0.04,
7. Break-even illustration,Net margin per order @ AOV 1500,165,SAR/order,confirmed_from_repo,= 1500*0.15 - 1500*0.04,
7. Break-even illustration,Break-even orders @ AOV 200,111,orders/mo,default_office_assumption,= 2000/18,
7. Break-even illustration,Break-even orders @ AOV 700,26,orders/mo,default_office_assumption,= 2000/77,
7. Break-even illustration,Break-even orders @ AOV 1500,12,orders/mo,default_office_assumption,= 2000/165,
,,,,,,
8. Sensitivity,SAR/USD +10%,4.125,SAR/USD,default_office_assumption,office_default_pack,Margin compresses if FX worsens
8. Sensitivity,SAR/USD -10%,3.375,SAR/USD,default_office_assumption,office_default_pack,Margin expands
8. Sensitivity,Shipping +5% (per kg),63,SAR/kg,default_office_assumption,office_default_pack,
8. Sensitivity,Payment fee +2pp (high BNPL),6,%,default_office_assumption,office_default_pack,Worst-case BNPL 5.99% rounded
,,,,,,
9. Compliance,VAT rate (KSA),15,%,confirmed_from_web,https://www.cleartax.com/sa/vat-rates-saudi-arabia,Standard rate since 2020-07-01
9. Compliance,ZATCA Wave 23 threshold,750000,SAR/yr,confirmed_from_web,https://zatca.gov.sa/en/Pages/news_1426.aspx,Deadline 31 Mar 2026
9. Compliance,ZATCA Wave 24 threshold,375000,SAR/yr,confirmed_from_web,https://zatca.gov.sa/en/Pages/news_1426.aspx,Deadline 30 Jun 2026
9. Compliance,KSA internet penetration (15-74),99.0,%,confirmed_from_web,https://techafricanews.com/2026/01/07/saudi-arabia-hits-99-internet-usage-among-15-74-year-olds-gastat-reports/,GASTAT 2025
9. Compliance,KSA internet users 2025,33.9,million,confirmed_from_web,https://datareportal.com/reports/digital-2025-saudi-arabia,
9. Compliance,Mada e-commerce volume Apr 2025,23.27,SAR billion,confirmed_from_web,https://www.arabnews.com/node/2604150/business-economy,+57% YoY
9. Compliance,Mada online txn count Apr 2025,132,million,confirmed_from_web,https://www.arabnews.com/node/2604150/business-economy,+40.75% YoY
9. Compliance,KSA e-payments share of retail 2025,85,%,confirmed_from_web,https://www.spa.gov.sa/en/N2558262,SAMA
