Priority,SKU,Category,Product Name (EN),Product Type,Weight (kg),Shipping Class,Regular Price (SAR),Sale Price (SAR),Amazon SA Ref Price,Audit Status,Has Sale Price,Has Amazon SA Ref,Dropship Eligible,Missing Fields,Suggested Next Action,Tag
A — Launch now,NT-MPC-MNF-001,Homelab,MinisForum MS-01 (Homelab Server),Physical,3.5,Heavy,4599,3999,,PASS,yes,no,no,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-NAS-SYN-001,Homelab,Synology DS225+ (2-Bay),Physical,2.5,Heavy,2419,2099,,PASS,yes,no,no,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-NAS-SYN-002,Homelab,Synology DS925+ (4-Bay),Physical,3.5,Heavy,3499,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-SRV-STC-001,Homelab,StarTech RK12WALLOA 12U Wall-Mount Rack,Physical,18,Oversized,1399,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-001,Networking,MikroTik hAP ax3 - WiFi 6 Router with RouterOS Power,Physical,0.6,Standard,799,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-002,Networking,TP-Link Deco XE75 (3-Pack) - AXE5400 WiFi 6E Whole-Home Mesh System,Physical,3,Heavy,2419,2099,,PASS,yes,no,no,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-003,Networking,Ubiquiti UniFi Switch Lite 16 PoE - 16-Port Managed Gigabit PoE+ Switch,Physical,3,Heavy,1399,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-004,Networking,MikroTik CRS305-1G-4S+IN - 4-Port 10G SFP+ Desktop Switch,Physical,0.5,Standard,1149,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-005,Networking,Ubiquiti UniFi 6 Lite - WiFi 6 Access Point (AX1500),Physical,0.4,Standard,849,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-006,Networking,TP-Link TL-SG108E - 8-Port Gigabit Easy Smart Managed Switch,Physical,0.5,Standard,229,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-008,Networking,MikroTik hEX S (RB760iGS) - 5-Port Gigabit Router with SFP and USB,Physical,0.5,Standard,649,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-009,Networking,Netgear GS308E - 8-Port Gigabit Plus Smart Managed Switch,Physical,0.5,Standard,209,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-011,Networking,TP-Link Archer AXE75 - AXE5400 Tri-Band WiFi 6E Router,Physical,1.2,Standard,1499,1299,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-NET-012,Networking,Ubiquiti UniFi Cloud Gateway Ultra - All-in-One UniFi Gateway,Physical,0.6,Standard,680,,540,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-CBL-FSC-001,Networking,10G SFP+ DAC Twinax Cable (1m),Physical,0.15,Standard,80,,63,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-CBL-GEN-001,Networking,Cat6a Shielded Bulk Cable (305m),Physical,15,Oversized,740,,592,PASS,no,yes,no,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-NET-MKT-001,Networking,MikroTik CRS305-1G-4S+IN,Physical,0.5,Standard,999,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-NET-MKT-002,Networking,MikroTik CRS326-24G-2S+RM,Physical,3.5,Heavy,1199,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-NET-MKT-003,Networking,MikroTik CRS328-24P-4S+RM (PoE),Physical,5,Heavy,3109,2699,,PASS,yes,no,no,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-NET-MKT-004,Networking,MikroTik CRS312-4C+8XG-RM,Physical,2,Standard,2799,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-NET-UBQ-001,Networking,Ubiquiti USW-Pro-24-PoE,Physical,5.5,Heavy,2370,,1889,PASS,no,yes,no,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-POE-TPL-001,Networking,TP-Link TL-SG1005P 5-Port PoE,Physical,0.5,Standard,299,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-POE-UBQ-001,Networking,Ubiquiti USW-Lite-8-PoE,Physical,0.8,Standard,849,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-SFP-FSC-001,Networking,FS.com 10GBASE-SR SFP+ Transceiver,Physical,0.05,Standard,129,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-WAP-TPL-001,Networking,TP-Link Omada EAP610,Physical,0.6,Standard,689,599,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-WAP-TPL-002,Networking,TP-Link Omada EAP650,Physical,0.6,Standard,919,799,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-WAP-UBQ-001,Networking,Ubiquiti UniFi U6 Pro,Physical,0.5,Standard,910,,725,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NT-WAP-UBQ-002,Networking,Ubiquiti UniFi U7 Pro,Physical,0.5,Standard,1609,1399,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SEC-002,Security & Surveillance,Reolink Argus 4 Pro - Solar-Powered Wireless 4K Security Camera,Physical,0.5,Standard,1199,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SEC-003,Security & Surveillance,Hikvision DS-2CD2143G2-I - 4MP AcuSense Dome Camera,Physical,0.5,Standard,749,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SEC-004,Security & Surveillance,Ubiquiti UniFi Protect G4 Doorbell Pro - 5MP Smart Doorbell with Fingerprint Reader,Physical,0.8,Standard,3140,,2511,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SEC-006,Security & Surveillance,Ajax Hub 2 Plus - Professional Wireless Smart Alarm System,Physical,0.8,Standard,2499,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SEC-007,Security & Surveillance,Eufy Video Doorbell S330 - Dual Camera Smart Doorbell (2K + Package Cam),Physical,1,Standard,1449,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-DRN-007,Smart Home & IoT,"Roborock S8 MaxV Ultra - Smart Robot Vacuum with 10,000Pa Suction",Physical,14,Oversized,8859,7699,,PASS,yes,no,no,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-002,Smart Home & IoT,UniFi Protect G4 Pro Camera - 4K Ultra HD Surveillance Excellence,Physical,0.8,Standard,2520,,2008,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-003,Smart Home & IoT,Broadlink RM4 Pro - Universal Smart Remote for IR &amp; RF Devices,Physical,0.2,Standard,359,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-004,Smart Home & IoT,Aqara Water Leak Sensor - Safeguard Your Home from Water Damage,Physical,0.05,Standard,259,219,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-005,Smart Home & IoT,Sonoff TX Ultimate (T5) Smart Wall Switch - Interactive Elegance with RGB,Physical,0.3,Standard,309,269,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-006,Smart Home & IoT,Aqara Hub M2 (HM2-G01) - Multi-Protocol Smart Home Gateway,Physical,0.2,Standard,499,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-007,Smart Home & IoT,SwitchBot Curtain 3 (W2400000) - Turn Any Curtain Smart in Minutes,Physical,0.3,Standard,639,549,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-008,Smart Home & IoT,Shelly Plus 1PM - Smart Wi-Fi Relay with Power Monitoring,Physical,0.05,Standard,189,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-009,Smart Home & IoT,Aqara Motion Sensor P1 (MS-S02) - Wide-Angle 170° Smart PIR Sensor,Physical,0.1,Standard,279,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-010,Smart Home & IoT,Eve Energy Smart Plug (Matter/Thread) - Next-Gen Smart Plug with Power Monitoring,Physical,0.15,Standard,399,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-011,Smart Home & IoT,SwitchBot Bot (S1) - Robotic Finger That Makes Any Button Smart,Physical,0.1,Standard,279,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-012,Smart Home & IoT,Aqara Roller Shade Driver E1 (RSD-M01) - Smart Roller Blind Motor with HomeKit,Physical,0.5,Standard,689,599,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-013,Smart Home & IoT,Zemismart Zigbee Smart Tubular Motor (ZM25TQ) - Heavy-Duty Roller Blind Motor,Physical,1,Standard,699,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-014,Smart Home & IoT,MOES Zigbee Smart Thermostat (BHT-002-GCLZB) - Programmable HVAC Control,Physical,0.25,Standard,439,379,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,NG-SH-015,Smart Home & IoT,Sonoff SNZB-02D Zigbee Temperature &amp; Humidity Sensor with LCD Display,Physical,0.05,Standard,159,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-BLD-SWBT-001,Smart Home & IoT,SwitchBot Curtain 3,Physical,0.3,Standard,649,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-CAM-ARLO-001,Smart Home & IoT,Arlo Pro 5 2K Spotlight Camera,Physical,0.6,Standard,1549,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-CAM-EUFY-001,Smart Home & IoT,Eufy eufyCam 3 (4K + HomeBase 3 Kit),Physical,3.5,Heavy,1649,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-CAM-RELK-001,Smart Home & IoT,Reolink Argus 4 Pro (4K),Physical,0.5,Standard,1039,899,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-CAM-RING-001,Smart Home & IoT,Ring Indoor Cam (2nd Gen),Physical,0.25,Standard,479,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-DSP-AMZN-001,Smart Home & IoT,Amazon Echo Show 8 (3rd Gen),Physical,1,Standard,999,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-DSP-GGLE-001,Smart Home & IoT,Google Nest Hub (2nd Gen),Physical,0.8,Standard,699,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-HUB-AQRA-001,Smart Home & IoT,Aqara Hub M3,Physical,0.25,Standard,1039,899,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-HUB-HASS-001,Smart Home & IoT,Home Assistant Green,Physical,0.3,Standard,890,,707,PASS,no,yes,yes,Sale Price,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-LCK-YALE-001,Smart Home & IoT,Yale Assure Lock 2 Wi-Fi,Physical,1.5,Standard,1549,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-LGT-GOVE-001,Smart Home & IoT,Govee RGBIC LED Strip M1 (5m),Physical,0.4,Standard,459,399,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-LGT-GOVE-002,Smart Home & IoT,Govee Glide Hexagon Light Panels Ultra (10-pack),Physical,2.5,Heavy,1499,1299,,PASS,yes,no,no,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-LGT-PHUE-001,Smart Home & IoT,Philips Hue Starter Kit (3x A19 + Bridge),Physical,0.8,Standard,899,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-LGT-PHUE-002,Smart Home & IoT,Philips Hue Gradient Lightstrip (2m),Physical,0.5,Standard,1149,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-PLG-MERS-001,Smart Home & IoT,Meross Smart Plug Mini MSS110 (HomeKit),Physical,0.1,Standard,159,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-PLG-TPLK-001,Smart Home & IoT,"TP-Link Tapo P125M Smart Plug (Matter, 2-pack)",Physical,0.2,Standard,149,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-POL-BBT-001,Smart Home & IoT,Beatbot AquaSense Pro - Cordless Pool Cleaning Robot,Physical,12,Oversized,7499,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-POL-DOL-001,Smart Home & IoT,Maytronics Dolphin Premier - Robotic Pool Cleaner,Physical,10,Oversized,5999,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-RVC-DREM-001,Smart Home & IoT,Dreame L50 Ultra,Physical,13,Oversized,4599,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-RVC-ECVX-001,Smart Home & IoT,Ecovacs Deebot X9 Pro Omni,Physical,14,Oversized,5699,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-RVC-RBRC-001,Smart Home & IoT,Roborock Qrevo CurvX,Physical,13,Oversized,4599,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-SPK-AMZN-001,Smart Home & IoT,Amazon Echo (4th Gen),Physical,1,Standard,699,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-SPK-AMZN-002,Smart Home & IoT,Amazon Echo Dot (5th Gen),Physical,0.35,Standard,459,399,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-SPK-APPL-001,Smart Home & IoT,Apple HomePod Mini,Physical,0.4,Standard,699,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-SPK-GGLE-001,Smart Home & IoT,Google Nest Audio,Physical,1.2,Standard,809,699,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-SWB-SWBT-001,Smart Home & IoT,SwitchBot Hub 2 (Matter Enabled),Physical,0.2,Standard,559,479,,PASS,yes,no,yes,Amazon SA Ref,Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-SWB-SWBT-002,Smart Home & IoT,SwitchBot Bot (Smart Button Pusher),Physical,0.1,Standard,239,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-THR-ECOB-001,Smart Home & IoT,Ecobee Smart Thermostat Premium,Physical,0.5,Standard,1549,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-THR-NEST-001,Smart Home & IoT,Google Nest Learning Thermostat (4th Gen),Physical,0.5,Standard,1699,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-VDB-EUFY-001,Smart Home & IoT,Eufy Video Doorbell E340 (Dual Camera),Physical,0.5,Standard,999,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-VDB-RING-001,Smart Home & IoT,Ring Battery Doorbell Plus,Physical,0.45,Standard,999,,,PASS,no,no,yes,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-WIN-ECVX-001,Smart Home & IoT,Ecovacs WINBOT W2 OMNI - Robotic Window Cleaner,Physical,4,Heavy,2299,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch now,SH-WIN-HBT-001,Smart Home & IoT,HOBOT-R3 - Window Cleaning Robot,Physical,3.5,Heavy,1599,,,PASS,no,no,no,"Sale Price, Amazon SA Ref",Push live; include in Tier-1/Tier-2 marketing.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NG-ENT-002,Homelab,Asustor Lockerstor 4 (AS6604T) - Professional 4-Bay NAS for Creators,Physical,4,Heavy,3099,,,FIXED,no,no,no,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NG-ENT-006,Homelab,Synology DiskStation DS1621+ 6-Bay NAS - Enterprise Storage Powerhouse,Physical,5,Heavy,5599,,,FIXED,no,no,no,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NT-MPC-BLK-001,Homelab,Beelink SER7 (Ryzen 7 7735HS),Physical,1,Standard,2399,,,FIXED,no,no,yes,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NT-MPC-BLK-002,Homelab,Beelink EQ12 (Intel N100),Physical,0.8,Standard,999,,,FIXED,no,no,yes,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
A — Launch (auto-adjusted),NT-NAS-QNP-001,Homelab,QNAP TS-464-8G (4-Bay),Physical,3.5,Heavy,2799,,,FIXED,no,no,no,"Sale Price, Amazon SA Ref",Sale price auto-adjusted by price:guard; review woocommerce_ready_import_price_floor_checked.csv before push.,confirmed_from_repo (post-scrape 2026-05-07)
