Rank,SKU,Category,Product Name (EN),Weight (kg),Shipping Class,Regular Price (SAR),Sale Price (SAR),Amazon SA Ref Price,Supplier Name,Supplier Type,Supplier Price,Supplier Currency,Supplier Buy URL,Supplier Price Source,Tag,Source Note
11,NG-SH-011,Smart Home & IoT,SwitchBot Bot (S1) - Robotic Finger That Makes Any Button Smart,0.1,Standard,279,,,Amazon.sa,Local market reference / supplier option,153,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
12,NG-SH-009,Smart Home & IoT,Aqara Motion Sensor P1 (MS-S02) - Wide-Angle 170° Smart PIR Sensor,0.1,Standard,279,,,Amazon.sa,Local market reference / supplier option,161,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
13,NT-POE-TPL-001,Networking,TP-Link TL-SG1005P 5-Port PoE,0.5,Standard,299,,,Amazon.sa,Local market reference / supplier option,159,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
14,NG-SH-005,Smart Home & IoT,Sonoff TX Ultimate (T5) Smart Wall Switch - Interactive Elegance with RGB,0.3,Standard,309,269,,Amazon.sa,Local market reference / supplier option,141,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
15,NG-SH-003,Smart Home & IoT,Broadlink RM4 Pro - Universal Smart Remote for IR &amp; RF Devices,0.2,Standard,359,,,Amazon.sa,Local market reference / supplier option,189,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
16,NG-SH-010,Smart Home & IoT,Eve Energy Smart Plug (Matter/Thread) - Next-Gen Smart Plug with Power Monitoring,0.15,Standard,399,,,Amazon.sa,Local market reference / supplier option,175,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
17,NG-SH-014,Smart Home & IoT,MOES Zigbee Smart Thermostat (BHT-002-GCLZB) - Programmable HVAC Control,0.25,Standard,439,379,,Amazon.sa,Local market reference / supplier option,176,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
18,SH-LGT-GOVE-001,Smart Home & IoT,Govee RGBIC LED Strip M1 (5m),0.4,Standard,459,399,,Amazon.sa,Local market reference / supplier option,379,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
19,SH-SPK-AMZN-002,Smart Home & IoT,Amazon Echo Dot (5th Gen),0.35,Standard,459,399,,Amazon.sa,Local market reference / supplier option,239,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
20,SH-CAM-RING-001,Smart Home & IoT,Ring Indoor Cam (2nd Gen),0.25,Standard,479,,,Amazon.sa,Local market reference / supplier option,99,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
21,NG-SH-006,Smart Home & IoT,Aqara Hub M2 (HM2-G01) - Multi-Protocol Smart Home Gateway,0.2,Standard,499,,,Amazon.sa,Local market reference / supplier option,489,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
22,SH-SWB-SWBT-001,Smart Home & IoT,SwitchBot Hub 2 (Matter Enabled),0.2,Standard,559,479,,Amazon.sa,Local market reference / supplier option,340,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
23,NG-SH-007,Smart Home & IoT,SwitchBot Curtain 3 (W2400000) - Turn Any Curtain Smart in Minutes,0.3,Standard,639,549,,Amazon.sa,Local market reference / supplier option,282,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
24,SH-BLD-SWBT-001,Smart Home & IoT,SwitchBot Curtain 3,0.3,Standard,649,,,Amazon.sa,Local market reference / supplier option,282,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
25,NG-NET-008,Networking,MikroTik hEX S (RB760iGS) - 5-Port Gigabit Router with SFP and USB,0.5,Standard,649,,,Amazon.sa,Local market reference / supplier option,205,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
26,NG-NET-012,Networking,Ubiquiti UniFi Cloud Gateway Ultra - All-in-One UniFi Gateway,0.6,Standard,680,,540,Amazon.sa,Local market reference / supplier option,540,SAR,https://www.amazon.sa/-/en/Ubiquiti-Cloud-Gateway-Ultra-UCG-Ultra/dp/B0CWLKD9RP/ref=sr_1_1,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
27,NT-WAP-TPL-001,Networking,TP-Link Omada EAP610,0.6,Standard,689,599,,Amazon.sa,Local market reference / supplier option,359,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
28,NG-SH-012,Smart Home & IoT,Aqara Roller Shade Driver E1 (RSD-M01) - Smart Roller Blind Motor with HomeKit,0.5,Standard,689,599,,Amazon.sa,Local market reference / supplier option,340,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
29,SH-DSP-GGLE-001,Smart Home & IoT,Google Nest Hub (2nd Gen),0.8,Standard,699,,,Amazon.sa,Local market reference / supplier option,209,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
30,SH-SPK-APPL-001,Smart Home & IoT,Apple HomePod Mini,0.4,Standard,699,,,Amazon.sa,Local market reference / supplier option,479,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
31,SH-SPK-AMZN-001,Smart Home & IoT,Amazon Echo (4th Gen),1,Standard,699,,,Amazon.sa,Local market reference / supplier option,479,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
32,NG-SH-013,Smart Home & IoT,Zemismart Zigbee Smart Tubular Motor (ZM25TQ) - Heavy-Duty Roller Blind Motor,1,Standard,699,,,Amazon.sa,Local market reference / supplier option,264,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
33,NG-SEC-003,Security & Surveillance,Hikvision DS-2CD2143G2-I - 4MP AcuSense Dome Camera,0.5,Standard,749,,,Amazon.sa,Local market reference / supplier option,418,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
34,NG-NET-001,Networking,MikroTik hAP ax3 - WiFi 6 Router with RouterOS Power,0.6,Standard,799,,,Amazon.sa,Local market reference / supplier option,559,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
35,SH-SPK-GGLE-001,Smart Home & IoT,Google Nest Audio,1.2,Standard,809,699,,Amazon.sa,Local market reference / supplier option,303,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
36,NT-POE-UBQ-001,Networking,Ubiquiti USW-Lite-8-PoE,0.8,Standard,849,,,Amazon.sa,Local market reference / supplier option,640,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
37,NG-NET-005,Networking,Ubiquiti UniFi 6 Lite - WiFi 6 Access Point (AX1500),0.4,Standard,849,,,Amazon.sa,Local market reference / supplier option,640,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
38,SH-HUB-HASS-001,Smart Home & IoT,Home Assistant Green,0.3,Standard,890,,707,Amazon.sa,Local market reference / supplier option,707,SAR,https://www.amazon.sa/-/en/Assistant-Advanced-Automation-Official-Hardware/dp/B0CXVKSG19/ref=sr_1_1,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
39,SH-LGT-PHUE-001,Smart Home & IoT,Philips Hue Starter Kit (3x A19 + Bridge),0.8,Standard,899,,,Amazon.sa,Local market reference / supplier option,531,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
40,NT-WAP-UBQ-001,Networking,Ubiquiti UniFi U6 Pro,0.5,Standard,910,,725,Amazon.sa,Local market reference / supplier option,725,SAR,https://www.amazon.sa/-/en/Ubiquiti-Professional-Access-Throughput-Plastic/dp/B09RGHTGBB/ref=sr_1_1,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
41,NT-WAP-TPL-002,Networking,TP-Link Omada EAP650,0.6,Standard,919,799,,Amazon.sa,Local market reference / supplier option,341,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
42,NT-NET-MKT-001,Networking,MikroTik CRS305-1G-4S+IN,0.5,Standard,999,,,Amazon.sa,Local market reference / supplier option,931,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
43,SH-VDB-EUFY-001,Smart Home & IoT,Eufy Video Doorbell E340 (Dual Camera),0.5,Standard,999,,,Amazon.sa,Local market reference / supplier option,438,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
44,SH-VDB-RING-001,Smart Home & IoT,Ring Battery Doorbell Plus,0.45,Standard,999,,,Amazon.sa,Local market reference / supplier option,727,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
45,SH-DSP-AMZN-001,Smart Home & IoT,Amazon Echo Show 8 (3rd Gen),1,Standard,999,,,Amazon.sa,Local market reference / supplier option,849,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
46,SH-HUB-AQRA-001,Smart Home & IoT,Aqara Hub M3,0.25,Standard,1039,899,,Amazon.sa,Local market reference / supplier option,749,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
47,SH-CAM-RELK-001,Smart Home & IoT,Reolink Argus 4 Pro (4K),0.5,Standard,1039,899,,Amazon.sa,Local market reference / supplier option,639,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
48,SH-LGT-PHUE-002,Smart Home & IoT,Philips Hue Gradient Lightstrip (2m),0.5,Standard,1149,,,Amazon.sa,Local market reference / supplier option,463,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
49,NG-NET-004,Networking,MikroTik CRS305-1G-4S+IN - 4-Port 10G SFP+ Desktop Switch,0.5,Standard,1149,,,Amazon.sa,Local market reference / supplier option,931,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
50,NG-ENT-004,Homelab,UniFi 6 Long-Range (U6-LR) - High-Performance WiFi 6 Access Point,0.5,Standard,1180,,938,Amazon.sa,Local market reference / supplier option,938,SAR,https://www.amazon.sa/-/en/Ubiquiti-Wireless-Long-Range-Included-U6-LR-US/dp/B08V1PF29L/ref=sr_1_2,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
51,NG-SEC-002,Security & Surveillance,Reolink Argus 4 Pro - Solar-Powered Wireless 4K Security Camera,0.5,Standard,1199,,,Amazon.sa,Local market reference / supplier option,527,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
52,NG-SEC-007,Security & Surveillance,Eufy Video Doorbell S330 - Dual Camera Smart Doorbell (2K + Package Cam),1,Standard,1449,,,Amazon.sa,Local market reference / supplier option,438,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
53,NG-NET-011,Networking,TP-Link Archer AXE75 - AXE5400 Tri-Band WiFi 6E Router,1.2,Standard,1499,1299,,Amazon.sa,Local market reference / supplier option,499,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
54,SH-CAM-ARLO-001,Smart Home & IoT,Arlo Pro 5 2K Spotlight Camera,0.6,Standard,1549,,,Amazon.sa,Local market reference / supplier option,418,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
55,SH-THR-ECOB-001,Smart Home & IoT,Ecobee Smart Thermostat Premium,0.5,Standard,1549,,,Amazon.sa,Local market reference / supplier option,1076,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
56,SH-LCK-YALE-001,Smart Home & IoT,Yale Assure Lock 2 Wi-Fi,1.5,Standard,1549,,,Amazon.sa,Local market reference / supplier option,1057,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
57,NT-WAP-UBQ-002,Networking,Ubiquiti UniFi U7 Pro,0.5,Standard,1609,1399,,Amazon.sa,Local market reference / supplier option,807,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
58,NT-MPC-DEL-001,Homelab,Dell OptiPlex 7070 Micro (Refurb),1.5,Standard,1610,,1282,Amazon.sa,Local market reference / supplier option,1282,SAR,https://www.amazon.sa/-/en/Dell-OptiPlex-5060-Computer-Professional/dp/B0C31DTK9C/ref=sr_1_1,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
59,SH-THR-NEST-001,Smart Home & IoT,Google Nest Learning Thermostat (4th Gen),0.5,Standard,1699,,,Amazon.sa,Local market reference / supplier option,1009,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
60,NG-SEC-006,Security & Surveillance,Ajax Hub 2 Plus - Professional Wireless Smart Alarm System,0.8,Standard,2499,,,Amazon.sa,Local market reference / supplier option,921,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
61,NG-SH-002,Smart Home & IoT,UniFi Protect G4 Pro Camera - 4K Ultra HD Surveillance Excellence,0.8,Standard,2520,,2008,Amazon.sa,Local market reference / supplier option,2008,SAR,https://www.amazon.sa/-/en/Ubiquiti-Networks-UVC-G4-PRO-PROTECT-G4-PRO/dp/B07R7F7KJM/ref=sr_1_1,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
62,NT-FWL-NGT-002,Homelab,Netgate 2100 MAX pfSense+ Gateway,1.2,Standard,2740,,2191,Amazon.sa,Local market reference / supplier option,2191,SAR,https://www.amazon.sa/-/en/PfSense-Netgate-2100-Firewall-Router/dp/B0D35Y6RLG/ref=sr_1_1,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
63,NT-NET-MKT-004,Networking,MikroTik CRS312-4C+8XG-RM,2,Standard,2799,,,Amazon.sa,Local market reference / supplier option,2637,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
64,NG-ENT-005,Homelab,Asustor Flashstor 6 (FS6706T) - All-NVMe SSD NAS for Extreme Performance,2,Standard,3099,,,Amazon.sa,Local market reference / supplier option,2802,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
65,NG-SEC-004,Security & Surveillance,Ubiquiti UniFi Protect G4 Doorbell Pro - 5MP Smart Doorbell with Fingerprint Reader,0.8,Standard,3140,,2511,Amazon.sa,Local market reference / supplier option,2511,SAR,https://www.amazon.sa/-/en/Ubiquiti-UniFi-Protect-Doorbell-UVC-G4-DoorBell-Pro/dp/B0BH3XVGK1/ref=sr_1_1,Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
66,NT-FWL-NGT-001,Homelab,Netgate 4200 MAX pfSense+ Gateway,1.8,Standard,3399,,,Amazon.sa,Local market reference / supplier option,1314,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
67,NT-FWL-FTN-001,Homelab,Fortinet FortiGate 60F,1.5,Standard,6329,5499,,Amazon.sa,Local market reference / supplier option,3146,SAR,scraped via scripts/live-market-sync-inscope.js (2026-05-07),Existing workbook Amazon reference,confirmed_from_repo (post-scrape 2026-05-07),PASS ⋂ ≤2kg ⋂ Standard class ⋂ supplier price filled
