sku,name,category,current_sale_sar,best_landed_sar_est,best_channel,new_sale_sar_at_20pct_margin,profit_per_unit_sar,realized_margin_pct,reprice_delta_sar,action
NG-SEC-001,Reolink RLC-810A - 4K PoE AI Security Camera,Security &amp; Surveillance,549,520,Jarir,650,130,20.0,101,RAISE
GM-PGA-JSA-001,JSAUX 6-in-1 Dock (Steam Deck/ROG Ally),Gaming,459,442,Amazon.sa,560,118,21.1,101,RAISE
SH-LGT-PHUE-001,Philips Hue Starter Kit (3x A19 + Bridge),Smart Home &amp; IoT,899,632,Amazon.sa,800,168,20.9,-99,LOWER
NG-ACC-003,Mark Ryden Anti-theft Laptop Backpack - Maximum Protection for Your Tech,Accessories &amp; Lifestyle,409,244,Amazon.sa,310,66,21.3,-99,LOWER
NG-ENT-002,Asustor Lockerstor 4 (AS6604T) - Professional 4-Bay NAS for Creators,Homelab,3099,2548,Amazon.sa,3190,642,20.1,91,RAISE
NG-MKR-003,Keychron Q1 - Premium Full Aluminum Custom Mechanical Keyboard,Enthusiasts &amp; Gamers,1449,1226,Amazon.sa,1540,314,20.4,91,RAISE
GM-MOU-RAZ-002,Razer Viper V3 Pro (54g Wireless),Gaming,1049,910,Amazon.sa,1140,230,20.2,91,RAISE
NG-NET-008,MikroTik hEX S (RB760iGS) - 5-Port Gigabit Router with SFP and USB,Networking,649,588,Amazon.sa,740,152,20.5,91,RAISE
NT-WAP-TPL-001,TP-Link Omada EAP610,Networking,599,550,Amazon.sa,690,140,20.2,91,RAISE
NG-SH-007,SwitchBot Curtain 3 (W2400000) - Turn Any Curtain Smart in Minutes,Smart Home &amp; IoT,549,505,Amazon.sa,640,135,21.1,91,RAISE
NG-ACC-002,Anker 735 GaN 65W Charger - Compact 3-Port Fast Charger,Accessories &amp; Lifestyle,379,228,Amazon.sa,290,62,21.5,-89,LOWER
SH-CAM-EUFY-001,Eufy eufyCam 3 (4K + HomeBase 3 Kit),Smart Home &amp; IoT,1649,1383,Noon,1730,347,20.1,81,RAISE
SH-LCK-AQRA-001,Aqara Smart Lock U200,Smart Home &amp; IoT,1249,1060,Amazon.sa,1330,270,20.3,81,RAISE
NG-NET-001,MikroTik hAP ax3 - WiFi 6 Router with RouterOS Power,Networking,799,703,Amazon.sa,880,177,20.1,81,RAISE
NG-SH-006,Aqara Hub M2 (HM2-G01) - Multi-Protocol Smart Home Gateway,Smart Home &amp; IoT,499,463,Noon,580,117,20.3,81,RAISE
NT-POE-TPL-001,TP-Link TL-SG1005P 5-Port PoE,Networking,299,300,Jarir,380,80,20.9,81,RAISE
SH-THR-NEST-001,Google Nest Learning Thermostat (4th Gen),Smart Home &amp; IoT,1699,1295,Amazon.sa,1620,325,20.0,-79,LOWER
SH-LCK-AUGS-001,August Wi-Fi Smart Lock (4th Gen),Smart Home &amp; IoT,1299,972,Amazon.sa,1220,248,20.3,-79,LOWER
NT-FWL-NGT-002,Netgate 2100 MAX pfSense+ Gateway,Homelab,2499,2054,Amazon.sa,2570,516,20.1,71,RAISE
SH-VDB-EUFY-001,Eufy Video Doorbell E340 (Dual Camera),Smart Home &amp; IoT,999,852,Amazon.sa,1070,218,20.4,71,RAISE
NG-3DP-006,BIQU H2 V2S Direct Drive Extruder - Lightweight Upgrade for Your 3D Printer,3D Printing &amp; CNC,599,536,Amazon.sa,670,134,20.0,71,RAISE
NG-NET-007,Ubiquiti EdgeRouter X - Advanced Gigabit Router in a Pocket-Sized Form,Networking,549,489,Amazon.sa,620,131,21.1,71,RAISE
GC-PSN-50,PlayStation Store $50 Gift Card | بطاقة بلايستيشن,Gift Cards &amp; Software Keys,199,209,Amazon.sa,270,61,22.7,71,RAISE
NG-CBL-002,Anker USB-C Hub 7-in-1 - Multi-Port Adapter for Laptops,Cables &amp; Adapters,349,218,Amazon.sa,280,62,22.1,-69,LOWER
NG-3DP-002,Bambu Lab AMS - Automatic Material System for Multi-Color 3D Printing,3D Printing &amp; CNC,1949,1602,Amazon.sa,2010,408,20.3,61,RAISE
NT-MPC-DEL-001,Dell OptiPlex 7070 Micro (Refurb),Homelab,1549,1282,Amazon.sa,1610,328,20.4,61,RAISE
SH-CAM-ARLO-001,Arlo Pro 5 2K Spotlight Camera,Smart Home &amp; IoT,1549,1284,Noon,1610,326,20.3,61,RAISE
NT-SRV-STC-001,StarTech RK12WALLOA 12U Wall-Mount Rack,Homelab,1399,1165,Amazon.sa,1460,295,20.2,61,RAISE
NG-GAM-008,Razer Basilisk V3 X HyperSpeed - Versatile Wireless Gaming Mouse,Gaming,649,562,Amazon.sa,710,148,20.9,61,RAISE
NT-KVM-TES-001,TESmart HKS0401A1U 4-Port HDMI KVM,Homelab,599,523,Amazon.sa,660,137,20.7,61,RAISE
GM-RGB-COR-001,Corsair iCUE LC100 Lighting Panels,Gaming,549,481,Amazon.sa,610,129,21.1,61,RAISE
NG-NET-010,Ubiquiti UniFi USW-Flex-Mini - Ultra-Compact 5-Port Managed Switch,Networking,219,219,Amazon.sa,280,61,21.8,61,RAISE
GC-STM-50,Steam Wallet $50 Gift Card | بطاقة ستيم,Gift Cards &amp; Software Keys,199,207,Amazon.sa,260,53,20.5,61,RAISE
GC-SW-WIN11,Windows 11 Pro License Key | مفتاح ويندوز 11 برو,Gift Cards &amp; Software Keys,199,207,Amazon.sa,260,53,20.2,61,RAISE
SH-THR-ECOB-001,Ecobee Smart Thermostat Premium,Smart Home &amp; IoT,1549,1187,Amazon.sa,1490,303,20.3,-59,LOWER
SH-BLD-IKEA-001,IKEA FYRTUR Blackout Smart Roller Blind,Smart Home &amp; IoT,949,710,Amazon.sa,890,180,20.2,-59,LOWER
NT-KVM-ATN-001,ATEN CS1924M 4-Port DP KVM,Homelab,2399,1958,Amazon.sa,2450,492,20.1,51,RAISE
NG-ACC-005,Flipper Zero - The Ultimate Multi-Tool for Geeks and Cyber-Research,Accessories &amp; Lifestyle,1799,1475,Amazon.sa,1850,375,20.3,51,RAISE
NG-GAM-011,SteelSeries QcK Heavy XXL - Extra-Large Gaming Mouse Pad,Gaming,289,268,Noon,340,72,21.1,51,RAISE
NG-NET-009,Netgear GS308E - 8-Port Gigabit Plus Smart Managed Switch,Networking,209,204,Noon,260,56,21.6,51,RAISE
GC-GP-50,Google Play $50 Gift Card | بطاقة قوقل بلاي,Gift Cards &amp; Software Keys,199,199,Amazon.sa,250,51,20.5,51,RAISE
GC-XBX-GPU3,Xbox Game Pass Ultimate 3 Months | قيم باس,Gift Cards &amp; Software Keys,149,154,Noon,200,46,23.2,51,RAISE
GC-SW-KTS1,Kaspersky Total Security 1 Year | كاسبرسكي,Gift Cards &amp; Software Keys,119,129,Amazon.sa,170,41,24.1,51,RAISE
SH-VDB-RING-001,Ring Battery Doorbell Plus,Smart Home &amp; IoT,999,752,Amazon.sa,950,198,20.8,-49,LOWER
SH-HUB-AQRA-001,Aqara Hub M3,Smart Home &amp; IoT,899,678,Amazon.sa,850,172,20.2,-49,LOWER
SH-CAM-RING-001,Ring Indoor Cam (2nd Gen),Smart Home &amp; IoT,479,341,Amazon.sa,430,89,20.8,-49,LOWER
NG-ACC-009,Ugreen Nexode 100W GaN Charger - 4-Port Gallium Nitride Fast Charger,Accessories &amp; Lifestyle,439,308,Amazon.sa,390,82,21.1,-49,LOWER
NG-3DP-004,eSUN PLA+ Filament 10-Color Pack - 10kg Total for 3D Printing,3D Printing &amp; CNC,1299,1066,Amazon.sa,1340,274,20.4,41,RAISE
SH-SPK-GGLE-001,Google Nest Audio,Smart Home &amp; IoT,699,589,Amazon.sa,740,151,20.4,41,RAISE
SH-BLD-SWBT-001,SwitchBot Curtain 3,Smart Home &amp; IoT,649,549,Noon,690,141,20.5,41,RAISE
SH-LGT-GOVE-001,Govee RGBIC LED Strip M1 (5m),Smart Home &amp; IoT,399,344,Amazon.sa,440,96,21.8,41,RAISE
NG-GAM-001,8BitDo Ultimate C Bluetooth Controller - Multi-Platform Gaming,Gaming,309,275,Amazon.sa,350,75,21.4,41,RAISE
NT-SRV-CBM-001,Cable Matters 24-Port Cat6 Patch Panel (1U),Homelab,239,219,Amazon.sa,280,61,21.7,41,RAISE
NG-NET-006,TP-Link TL-SG108E - 8-Port Gigabit Easy Smart Managed Switch,Networking,229,216,Amazon.sa,270,54,20.2,41,RAISE
NG-ACC-001,Baseus Blade 100W Power Bank - Ultra-Slim Laptop Portable Charger,Accessories &amp; Lifestyle,499,362,Amazon.sa,460,98,21.2,-39,LOWER
NG-CBL-003,Cable Matters Thunderbolt 4 Cable (2m) - 40Gbps with 100W Charging,Cables &amp; Adapters,419,297,Amazon.sa,380,83,22.0,-39,LOWER
NG-SH-010,Eve Energy Smart Plug (Matter/Thread) - Next-Gen Smart Plug with Power Monitoring,Smart Home &amp; IoT,399,286,Amazon.sa,360,74,20.5,-39,LOWER
NG-SH-003,Broadlink RM4 Pro - Universal Smart Remote for IR &amp; RF Devices,Smart Home &amp; IoT,359,252,Amazon.sa,320,68,21.2,-39,LOWER
SH-LGT-GOVE-002,Govee Glide Hexagon Light Panels Ultra (10-pack),Smart Home &amp; IoT,1299,1064,Amazon.sa,1330,266,20.0,31,RAISE
NG-SH-012,Aqara Roller Shade Driver E1 (RSD-M01) - Smart Roller Blind Motor with HomeKit,Smart Home &amp; IoT,599,497,Noon,630,133,21.1,31,RAISE
NG-SH-004,Aqara Water Leak Sensor - Safeguard Your Home from Water Damage,Smart Home &amp; IoT,219,198,Amazon.sa,250,52,20.6,31,RAISE
NT-CBL-FSC-001,10G SFP+ DAC Twinax Cable (1m),Networking,139,129,Noon,170,41,24.4,31,RAISE
NG-SEC-005,Reolink 16-Channel PoE NVR (RLN16-410) - 4K Network Video Recorder,Security &amp; Surveillance,1599,1255,Amazon.sa,1570,315,20.1,-29,LOWER
SH-DSP-AMZN-001,Amazon Echo Show 8 (3rd Gen),Smart Home &amp; IoT,999,768,Amazon.sa,970,202,20.8,-29,LOWER
SH-CAM-RELK-001,Reolink Argus 4 Pro (4K),Smart Home &amp; IoT,899,693,Amazon.sa,870,177,20.4,-29,LOWER
